Ticker,Test_Samples,MSE_3M,RMSE_3M,MAE_3M,R2_3M,DirAcc_3M,MSE_1Y,RMSE_1Y,MAE_1Y,R2_1Y,DirAcc_1Y,MSE_3Y,RMSE_3Y,MAE_3Y,R2_3Y,DirAcc_3Y
GRASIM,866,0.006400782979887206,0.08000489347463195,0.06354548559005073,0.8367946902384416,86.72055427251732,0.016383317065042726,0.12799733225752297,0.09512174272061245,0.9518602292376588,82.7944572748268,0.07120908169450625,0.26685029828446183,0.18953919266167743,0.765231415319733,100.0
DIVISLAB,866,0.010338703517006682,0.10167941540452857,0.08284419142536037,0.5759885114286214,89.95381062355659,0.030558407836248695,0.1748096331334423,0.1477461686598416,0.8637658119517502,89.14549653579677,0.010033557786622425,0.10016764840317668,0.07912062851060934,0.931309746962845,97.22863741339492
BRITANNIA,866,0.009980802217352274,0.09990396497312944,0.08228924638377898,0.2834793926775673,63.279445727482674,0.00894916513202478,0.09460002712486282,0.07723133617182444,0.6814200052302393,79.56120092378754,0.011782939802277743,0.10854925058367627,0.08648935230513367,0.4165994630521862,100.0
CIPLA,866,0.005478208918103903,0.07401492361749691,0.049545409220633635,0.7580708475105145,86.83602771362587,0.010202700202078805,0.10100841649129445,0.0721964910077564,0.867938900236074,95.26558891454965,0.025470792235608743,0.15959571496631336,0.13233931126894632,0.7481309248304076,100.0
TECHM,784,0.00446475948127293,0.0668188557315443,0.05052282581564956,0.9035592443704069,88.9030612244898,0.02096856458507865,0.14480526435554286,0.11082423995548178,0.8990576593765467,96.93877551020408,0.010921754640461051,0.10450719898868714,0.07887717360649638,0.9031584062519841,98.9795918367347
NESTLEIND,866,0.0029956658237835676,0.05473267601518829,0.04271027672171214,0.6057982590171285,84.75750577367207,0.0068680979748306946,0.08287398852975941,0.0665618598495565,0.4889974818697851,91.10854503464203,0.004491689555937381,0.06702006830746579,0.05702658749548998,0.736418269322909,100.0
APOLLOHOSP,866,0.009154426296746883,0.0956787661748775,0.0804851277515332,0.7366205489498328,91.33949191685913,0.02203715526591393,0.14844916727928767,0.11656813009902318,0.9317203602358921,95.49653579676675,0.013078941952749508,0.11436320191717923,0.08944324632852788,0.9758204728597767,100.0
HEROMOTOCO,866,0.003980049258154897,0.06308763157826498,0.05022944503252382,0.8339982865380489,81.63972286374134,0.008241346260159871,0.09078186085424704,0.07072548976213204,0.8513587052362848,92.8406466512702,0.0460580009989101,0.21461127882501913,0.1803911472670734,0.7332606190007042,100.0
INDUSINDBK,866,0.04629772526153194,0.21516906204548075,0.15443809476600934,0.4212019846675342,76.44341801385681,0.05147778031117406,0.22688715325283196,0.1673844730969885,0.8033248587151194,93.18706697459585,0.03366476072285044,0.183479592115446,0.14016403760798662,0.9386101904092026,89.83833718244803
EICHERMOT,866,0.01012606119845646,0.10062833198685378,0.08392550128824766,0.7205450466759911,78.63741339491916,0.015222489797273116,0.12337945451846152,0.1024499715500921,0.658811731871036,84.8729792147806,0.01744192583177259,0.13206788342277842,0.1058303132549995,0.78949765546994,100.0
DRREDDY,866,0.008441574538384893,0.0918780416551468,0.07479583873249769,0.43629296792778827,79.44572748267899,0.016664048417277633,0.12908930403901647,0.09739343977610443,0.8306387431382016,88.56812933025404,0.009329057235678631,0.09658704486461231,0.07266151934311517,0.624182915200538,100.0
TATACONSUM,866,0.005387177504496032,0.07339739439854819,0.05888066600831268,0.7909315675888119,90.64665127020785,0.005000646745598995,0.07071525115276757,0.05251798473264472,0.9660322752051018,92.8406466512702,0.03250572398552959,0.18029343855373547,0.13320786530027212,0.8727702322247654,100.0
BPCL,866,0.006696991265088988,0.08183514688133081,0.06406513558591524,0.7630266487452422,88.91454965357968,0.009860155561915981,0.09929831600745292,0.07636974030624652,0.815803550395296,96.88221709006929,0.018817386202121388,0.13717647831214136,0.10518723078208247,0.9306538990159376,98.03695150115473
HDFCLIFE,231,0.00422535464978839,0.06500272801804852,0.05191425163222243,0.46872182292739273,76.62337662337663,0.002652541028378606,0.05150282544073292,0.041245858143416365,0.7992525838236852,93.5064935064935,0.0040585394515632225,0.06370666724576968,0.05326329793345619,0.47456739018396576,100.0
UPL,866,0.007970123838085496,0.08927555005759133,0.07006751668720004,0.7891140691933303,80.0230946882217,0.010626541781464348,0.10308511910777592,0.07556534804888801,0.9274989694406685,91.68591224018475,0.011156378586838673,0.10562375957538471,0.08531056439298217,0.9153621110922852,93.41801385681293
LTIM,297,0.018648015396834267,0.13655773649571915,0.11472539930457017,0.24101490316952923,84.51178451178451,0.011028819672353501,0.10501818734082921,0.08490591446684065,0.8311804789387977,98.98989898989899,0.009509330547431962,0.09751579639951653,0.08120602903799828,0.8303501122619905,95.28619528619528
